270519;6.48
270531;6.48
270543;5.20
270555;6.17
270567;7.12
270580;5.83
270592;5.51
270604;6.48
270616;7.45
270629;7.12
270642;6.80
270655;6.49
270667;7.45
270680;6.80
270692;7.77
270705;7.14
270718;6.82
270731;7.46
270744;8.09
270757;9.11
270770;8.41
270783;9.11
270796;8.41
270809;9.11
270822;9.79
270835;9.11
270848;9.77
270861;10.13
270874;10.81
270887;11.15
270900;11.49
270913;10.47
270926;12.17
270939;12.51
270952;12.84
270965;12.84
270978;14.19
270991;14.53
271004;14.53
271017;15.88
271030;15.88
271043;16.83
271056;16.83
271069;16.83
271082;16.83
271095;16.51
271108;17.78
271121;17.48
271135;18.41
271148;18.41
271161;19.38
271174;21.28
271187;20.96
271200;20.66
271213;22.52
271226;22.24
271239;24.53
271253;23.09
271266;26.26
271280;24.82
271294;25.11
271308;26.26
271322;27.42
271336;27.71
271350;28.85
271364;29.63
271378;30.41
271392;31.18
271406;31.19
271420;32.47
271434;33.25
271448;34.54
271462;35.05
271477;35.56
271491;36.02
271505;36.96
271519;38.32
271533;39.24
271547;40.60
271561;41.51
271576;42.19
271591;43.23
271606;44.42
271621;45.02
271636;47.41
271651;47.62
271666;49.16
271681;49.84
271696;50.54
271711;51.71
271727;52.73
271742;53.94
271757;54.60
271772;55.10
271787;55.44
271802;55.91
271817;55.61
271832;55.91
271847;55.28
271862;54.94
271877;54.59
271892;54.59
271907;53.75
271922;52.90
271937;52.90
271952;52.75
271967;52.22
271982;52.24
271997;52.22
272012;52.73
272027;52.73
272042;52.72
272057;52.72
272072;52.73
272087;52.73
272102;52.73
272117;52.39
272132;52.39